[3, 4, 5], query: 0, k: 0, pos: 0
[3, 4, 5], query: 1, k: 0, pos: 1
[3, 4, 5], query: 2, k: 0, pos: 2
[3, 4, 5], 0 -> [0, 0, 0]
[3, 4, 5], query: 0, k: 1, pos: -1
[3, 4, 5], query: 1, k: 1, pos: 0
[3, 4, 5], query: 2, k: 1, pos: 1
[3, 4, 5], 1 -> [0, 0, 0]
[3, 4, 5], query: 0, k: 2, pos: -2
[3, 4, 5], query: 1, k: 2, pos: -1
[3, 4, 5], query: 2, k: 2, pos: 0
[3, 4, 5], 2 -> [0, 0, 0]
[3, 4, 5], query: 0, k: 3, pos: 0
[3, 4, 5], query: 1, k: 3, pos: -2
[3, 4, 5], query: 2, k: 3, pos: -1
[3, 4, 5], 3 -> [0, 0, 0]
[3, 4, 5], query: 0, k: 4, pos: -1
[3, 4, 5], query: 1, k: 4, pos: 0
[3, 4, 5], query: 2, k: 4, pos: -2
[3, 4, 5], 4 -> [0, 0, 0]
[3, 4, 5], query: 0, k: 5, pos: -2
[3, 4, 5], query: 1, k: 5, pos: -1
[3, 4, 5], query: 2, k: 5, pos: 0
[3, 4, 5], 5 -> [0, 0, 0]


